;;;;
;;;;
;ЧП Настин А.С.;;;
;;;;
;"
Телефоны: 37-24-05,37-49-47";;;
;;;;
;Прайс-лист;;;
;29 Апреля 2026 г.;;;
;;;;
Артикул;Наименование товаров;Розничные;;
;;"(включая НДС,
 без учета НП)";;
1312.3771 Т;Генератор 1312.3771 (аналог  Г273В1) 28В 60А КАМАЗ, МАЗ;5 631,00 руб.;шт;
1322.3771 Т;Генератор 1322.3771 (аналог Г273В2) 28В 50А МАЗ;5 508,00 руб.;шт;
1702.3771 Т;Генератор 1702.3771 (аналог Г288Е) 28В 50А КАМАЗ, МАЗ, КРАЗ;7 733,00 руб.;шт;
3112.3771;Генератор 3112.3771  28В 80А МАЗ (7511)  (2-х руч.);6 758,00 руб.;шт;
3122.3771;Генератор 3122.3771 2-х руч. 28В 80А (аналог 6582-02) КАМАЗ;9 180,00 руб.;шт;
3142.3771;Генератор 3142.3771 (аналог Г4001-53) КАМАЗ Евро широкий шкив;10 185,00 руб.;шт;
4502.3771Т;Генератор 4502.3771 широкий рем. (аналог 7762) 28В 80А КАМАЗ ЕВРО-2,-3;7 926,00 руб.;шт;
4512.3771Т;Генератор 4512.3771 28В 90А МАЗ ЕВРО-3  широкий шкив;8 638,00 руб.;шт;
3142.3771-10;Генератор 740.30, 740.31, креп.10мм.6 руч, 28В 90А;9 244,00 руб.;шт;
3142.3771-20;Генератор 740.30, 740.31, креп.10мм.8 руч, 28В 90А;9 007,00 руб.;шт;
4542.3771-20 28В 120А;Генератор КАМАЗ  Евро-4,5  8 руч ПРАМО;10 782,00 руб.;шт;
4542.3771;Генератор КАМАЗ ЕВРО-3  28В 90А широкий шкив, пятипиновый разъем;9 015,00 руб.;шт;
4522.3771-10 28В 80А;Генератор КАМАЗ ЕВРО-3,4 10-ти ручейковый;8 548,00 руб.;шт;
3112.3771-01 Т 80А;Генератор средний;8 303,00 руб.;шт;
ПРАМО 16 тонн;Домкрат гидр.бут. 16т, 230-465 мм;1 505,00 руб.;шт;
ПРАМО 30 тонн;Домкрат гидр.бут. 30т, 240-370 мм;3 887,00 руб.;шт;
4502.3771.100-01;Статор на 4502,4212(10),4522(10),4532(10),4542;2 981,00 руб.;шт;
4502.3771.060;Щеткодержатель с регулятором;271,00 руб.;шт;
;ГУР, насос ГУРа, р/к насос ГУРа;;;
503-3405010-10;Гидроусилитель МАЗ;52 514,00 руб.;шт;
453198.237 ШНКФ;Гидроцилиндр подъема запасного колеса КАМАЗ г.Борисов;15 110,00 руб.;шт;
4310-3400020-03;ГУР  КАМАЗ г.Борисов;110 160,00 руб.;шт;
4310-3400020-01;ГУР  КАМАЗ г.Борисов;107 100,00 руб.;шт;
453461.425-01 ШНКФ;ГУР КамАЗ 4308, 4326, 6520 (двухосн., трехосные);120 502,00 руб.;шт;
4310-3407200-21;Насос ГУРа  КАМАЗ (усил.)18*1,5 внутр г.Борисов;18 092,00 руб.;шт;
4310-3407200-01;Насос ГУРа  КАМАЗ г.Борисов;17 769,00 руб.;шт;
130-3407199;Насос ГУРа (без бачка и шкива) г.Борисов;13 249,00 руб.;шт;
130-3407200-а;Насос ГУРа 130-3407200-а ЗИЛ г.Борисов;17 004,00 руб.;шт;
6520-3407200 г.Елец;Насос ГУРа 6520 г.Елец;21 719,00 руб.;шт;
4310-3407200-02 г. Елец;Насос ГУРа КАМАЗ (наружн.резьба);17 850,00 руб.;шт;
4310-3407200-11;Насос Гура Камаз левого вращения г.Борисов;18 576,00 руб.;шт;
256б-3407199-01;Насос ГУРа КРАЗ, Урал, МАЗ  г.Борисов;15 226,00 руб.;шт;
458662.250 ШНКФ;Насос МОК  в упаковке г.Борисов КАМАЗ, МАЗ (182.5004010-11);21 284,00 руб.;шт;
5320-3407244;Р/К Насос ГУРа г.Борисов;3 570,00 руб.;шт;
453479.011 ШНКФ;Р/К Насос Гура 453471.021 ШНКФ;2 236,00 руб.;шт;
453198.214 ШНКФ;Цилиндр МОК (с трубкой) 43114-5003014 КАМАЗ г.Борисов;20 225,00 руб.;шт;
453198.210 ШНКФ;Цилиндр МОК КАМАЗ г.Борисов;18 527,00 руб.;шт;
;Датчики, реле, рычаги, щетки;;;
110б-3811010(30А);Амперметр (30А);815,00 руб.;шт;
111б-3811010(50А);Амперметр (50А) Владимр;535,00 руб.;шт;
ВК318Б;Выключатель ВК318Б механч. Старый Оскол;281,00 руб.;шт;
1410.3737 4 шт.;Выключатель массы электр.;2 125,00 руб.;шт;
1400.3737 24В 50А;Выключатель массы КамАз-6520(крышка текстолит);1 759,00 руб.;шт;
5212.3827;Датчик  бензобака 500л. г.Владимир;740,00 руб.;шт;
ММ 125Д;Датчик  выкл.пневмат.сигнала торможения г.Пенза;43,00 руб.;шт;
5320-3829030 ММ 111(2602);Датчик аварийного давления масла г.Владимир;82,00 руб.;шт;
5320-3708500-00;Замок зажигания ВК-353 г.Санкт-Петербург;899,00 руб.;шт;
1902.3704;Замок зажигания ЕВРО (камаз);497,00 руб.;шт;
МЭ 307;Привод спидометра г.Самара;1 302,00 руб.;шт;
8602.3777;Реле блокировки стартера РБС г.Пенза;74,00 руб.;шт;
РС 951А.372610 (37 уп);Реле поворота  г.Владимир;1 216,00 руб.;шт;
27.5205700-02;Рычаг стеклоочистителя шт;130,00 руб.;шт;
80С;Термостат ТС 107.1306100-01М КАМАЗ;210,00 руб.;шт;
(30 уп)80С;Термостат ТС 107.1306100-01М набор 2+1 КАМАЗ;578,00 руб.;шт;
80С;Термостат ТС 108.1306100-01М ГАЗ 53, ПАЗ;180,00 руб.;шт;
272.5205500;Тяга;392,00 руб.;шт;
УБ 170;Указатель уровня топлива г. Октябрьский;210,00 руб.;шт;
27.5205800-02 М;Щетка  г.Ставрово к-т;155,00 руб.;шт;
;Запчасти КАМАЗ;;;
740-1029154;Вал ведомой шестерни;760,00 руб.;шт;
5320-2502201 г.Курган;Вал промежуточный среднего моста;1 100,00 руб.;шт;
14-1702027;Вилка перекл. 2-3 пер.КПП ОАО КАМАЗ;920,00 руб.;шт;
15-1771094;Вилка перекл.делителя КПП ОАО КАМАЗ;1 640,00 руб.;шт;
5320-2919040;Вкладыш реактивной штанги;34,00 руб.;шт;
5297-3414066;Вкладыш наконечника верхний;847,00 руб.;шт;
5320-3414067;Вкладыш наконечника нижний ОАО КАМАЗ;305,00 руб.;шт;
5511-2919034;Вкладыш реактивного пальца (толстый) ОАО КАМАЗ;499,00 руб.;шт;
15-1772010;Воздухораспределитель ОАО КАМАЗ;2 285,00 руб.;шт;
740-1005133;Втулка маховика;180,00 руб.;шт;
5320-2502029;Втулка распорная;463,00 руб.;шт;
154-1701282;Втулка шестерни 1-ой передачи;1 650,00 руб.;шт;
853550;Гайка конич.шестерни среднего моста;345,00 руб.;шт;
5425-3101040;Гайка пер. колеса ЕВРО ОАО КАМАЗ;48,00 руб.;шт;
5320-2502063;Гайка подшипника в сборе ОАО КАМАЗ;330,00 руб.;шт;
53205-2403040;Гайка подшипника дифер.бугельная ОАО КАМАЗ;630,00 руб.;шт;
4310-3103076;Гайка подшипника ступицы 4310 ОАО КАМАЗ;320,00 руб.;шт;
853567;Гайка сошки Гура;215,00 руб.;шт;
5320-3703058;Гнездо АКБ ОАО КАМАЗ ( без крышки);3 500,00 руб.;шт;
 ;Гнездо АКБ с крышкой в сборе;2 000,00 руб.;шт;
6520-3501090;Колодка тормозная в сб.ОАО КАМАЗ;3 952,00 руб.;шт;
5320-1109384;Колпак воздухозаборника ОАО КАМАЗ;830,00 руб.;шт;
55118-1109384;Колпак воздухозаборника в сборе;815,00 руб.;шт;
14-1701096;Кольцо маслонагнетательное ОАО КАМАЗ;415,00 руб.;шт;
15-1772132-10;Кран управления делителем(нов.обр.) ОАО КАМАЗ;2 040,00 руб.;шт;
5320-2905535;Кронштейн амортизатора левый;680,00 руб.;шт;
5320-2905534;Кронштейн амортизатора правый;680,00 руб.;шт;
